Matilde Rubio Bonilla,953008920
Carles Carreón Orta,990011733
Pío Gracia Méndez,960-833-988
Jennifer Pineda Corral,948602704
Anni Guillén Rivas,929-506-245
Jorge Velasco Alfaro,910.364.285
Miguel Apodaca Miramontes,905282211
Pablo Quintana Vela,988 334 676
Manuel Madrid Chavarría,998367500
Jordi Ornelas Raya,910 715 973
Salvador Loera Sevilla,964-563-139
Matilde Meza Reynoso,938 958 442
Anni Valdivia Echevarría,952.267.615
Sergi Almaráz Anaya,996.657.338
Lorena Fuentes Carmona,948-790-495
Maica Reyna Gamboa,994271985
Matilde Chapa Alonzo,924599341
Josep Mares Cabán,944 608 269
Manuel Suárez Caballero,968853830
Manuel Haro Olivares,946 369 300
Anni Salas Almonte,984.907.245
Laura Domínguez Salazar,981706595
Marta Zúñiga Batista,951.811.491
Iván Estévez Soto,926438288
Carles Altamirano Palomo,961-391-942
Ángel Orellana Vaca,926 756 781
Ángel Arellano Bañuelos,949-487-095
Ángel Preciado Olivera,991.626.625
Manuel Fuentes Quesada,909.731.691
Lorena Carbajal Chapa,939 925 787
Jorge Loya de Anda,978.649.202
Sergi Mayorga Terán,971 894 648
Andrea Angulo Camacho,904.234.203
Sta. Ana Guillén Casarez,994.868.859
Josep Bonilla Olivas,908775853
Roser Alcalá Jiménez,975-650-385
Jennifer Ledesma Negrón,910685231
Andrea Páez Navarro,971712598
María de los Ángeles Tovar Badillo,945163355
Matilde Valenzuela Regalado,958-907-811
Sr. Hermenegildo Valenzuela Rivas,937-248-065
Rubén Cabán Arreola,913595811
Andrea Altamirano Ceja,916-333-262
Jennifer Beltrán Negrón,953.731.512
Lorena Zamora Casas,994-316-517
Ana Lerma Saldivar,916.192.719
Maica Berríos Urbina,988.874.846
Lorena León Rentería,997 886 494
Pedro Aragón Barreto,922 811 051
Jorge Véliz Tapia,908112127
Marta Acevedo Escamilla,920 183 080
Andrea Valle Adame,995-090-442
Andrea Tejada Delgado,945 962 550
Matilde Saavedra Cruz,972 853 459
Sergi Orosco Delafuente,948-345-382
Roser Fonseca Terán,988445913
Marta Meraz Villalobos,985 184 918
Laura Galindo Valdés,953 769 260
Sr. Jordi Chacón Sepúlveda,910.539.182
Matilde Cotto Beltrán,946-174-326
Laura Vallejo Escobar,907.305.983
Marta Navarro Casillas,961-497-018
Matilde Adame Urías,924 932 533
Marta Puga Collado,976.248.330
Josep Chavarría Montero,930 917 634
Laura Salazar Bravo,976913009
Marta Robles Cantú,986254107
Sta. María de los Ángeles Mendoza Marrero,955.400.148
Sta. Lorena Benavides Santana,990970603
Laura Casas Zepeda,945.755.506
Andrea Echevarría Gallegos,960.591.384
Ricardo Narváez Juárez,913 809 413
Pablo Ulloa Alcalá,907520993
Daniel Casares Crespo,918 340 343
Rubén Bernal Delgado,968-378-196
Maica Mireles Segovia,943.250.808
Anni Montes Corrales,900980340
Hermenegildo Saldivar Villanueva,990 214 732
Ana Tello Aponte,915 151 102
Ana Feliciano Alfaro,992-143-982
Josep Adame Sánchez,999524541
Ángel Solís Betancourt,921-815-835
Marta Vergara Quezada,902.847.953
María de los Ángeles Estrada Gastélum,940 592 098
Josep Suárez Negrón,981-490-983
Sr. Ricardo Montaño Prado,919-759-739
Matilde Armijo Paredes,911.686.059
Manuel Espinosa de los Monteros Bustos,951421795
Pedro Villagómez Castillo,954-942-993
Sta. Ana Lebrón Esquivel,909521871
Sr. Salvador Tirado Esquibel,935.141.677
Sta. Marta Barrientos Cantú,987 578 845
Matilde Jurado Zayas,997669680
Carles Reyna Alfaro,906198658
Jordi Saucedo Chapa,963-179-485
Pedro Concepción Delapaz,971531039
Rubén Camarillo Menchaca,923-259-016
Josep Dueñas Salgado,952.197.210
Jordi Cardona Laureano,983-601-091
María de los Ángeles Suárez Mota,946-017-438
Roser Valdez Esparza,983.331.674
Marta Saiz Báez,964 327 333
Hermenegildo Varela Tirado,954-924-270
Pío Roque Calvillo,948 619 257
Pío Herrera Lara,969 503 266
Andrea Flores Villagómez,920-182-322
Matilde Olivárez Villalobos,950 670 598
Jennifer Abrego Delapaz,962 847 999
Ricardo Muñiz Camacho,988-210-020
Jennifer Bermúdez Gracia,999887834
Ana Nazario Jaime,980728749
Laura Murillo Pedraza,993-955-857
Sta. Maica Batista Colunga,997549233
Roser Báez Rosado,911 865 150
Iván Palomino Bernal,966577535
Iván Téllez Vallejo,954-162-676
Jennifer Baeza Abreu,977.131.995
Jennifer Yáñez Gaona,918-091-427
Pedro Quintero Bueno,956 510 846
Carles Pantoja Castro,997-698-627
Pablo Delgadillo Sánchez,918 850 279
María de los Ángeles Echevarría Tapia,934 534 203
Ana Nazario Zelaya,912252419
Andrea Curiel Cazares,960-605-298
María de los Ángeles Orozco Valles,906 065 380
Lorena Velasco Trejo,933352871
Pío Segura Dueñas,929-031-855
Marta Candelaria Anguiano,996211281
Anni Banda Tórrez,928917277
Ana Caraballo Fuentes,979 730 866
Laura Lugo Barrios,996091515
Pablo Rocha Rivero,947 502 262
Jennifer Cardona Pineda,951 379 787
Anni Caldera Villarreal,965.475.969
Pedro Cepeda Gómez,921.451.345
Miguel Montañez Leal,952.666.713
Maica Ocasio Casarez,913-273-964
Pedro Alaníz Abrego,942129858
María de los Ángeles Ibarra Meraz,914874806
Jennifer Lebrón Armas,902062013
Roser Covarrubias Cardona,921.770.783
Sergi Delatorre Piña,985.670.228
Marta Linares Gámez,943160822
Roser Vélez Bahena,921 140 013
Pío Garica Gaona,929151463
Roser Tamez Echevarría,972559567
Marta Ojeda Robledo,939-143-332
Anni Quesada Araña,953 127 719
Lorena Sanabria Cisneros,921644754
Marta Mayorga Collazo,921 209 894
Anni Benavídez Quiñónez,937.420.796
Maica Escalante Alemán,951974533
María de los Ángeles Chávez Patiño,946885068
Maica Barragán Zaragoza,954706249
Anni Granados Galván,956.293.409
Hermenegildo Santiago Roldán,972.561.449
Manuel Alemán Elizondo,977700531
Andrea Maya Saavedra,971.252.225
Ricardo Carrillo Carrero,989.063.694
Pablo Urrutia Nazario,959.213.021
Sergi Palomo Alvarado,933 298 405
Maica Quiróz Puente,975-495-751
María de los Ángeles Barragán Alba,993.385.521
Ana Terán Guardado,903791215
Daniel Hernández Castro,947 889 803
Marta Quezada Barragán,900-890-743
Sergi Casillas Garibay,914.002.638
Lorena Trejo Urbina,938 281 420
Sr. Pío Roque Corrales,991.154.027
Marta Samaniego Reyes,991231530
Pablo Irizarry Soliz,948.850.650
Anni Olivas Hinojosa,979 992 136
Pablo Casanova Quiñónez,963273026
Miguel Blanco Rentería,916210753
Andrea Zamudio Carranza,996267579
Maica Aguilera Medrano,931.091.175
Roser Elizondo Santacruz,968 056 481
Laura Rosario Garibay,980 423 545
Andrea Niño Casillas,963.317.932
Ricardo Montañez Sauceda,956097459
Maica Huerta Carrasco,926.081.138
Ángel Madera Fuentes,952 808 331
Sergi Burgos Prieto,922.380.503
Manuel Tejeda Rentería,956238080
Jordi Pizarro Luna,948 469 162
Pedro Banda Almonte,970.284.541
Sr. Daniel Cisneros Guerrero,924.255.957
Marta Tejada Almaráz,990985963
Laura Verdugo Argüello,997-199-611
Laura Berríos Argüello,904 007 398
Maica Velázquez Villanueva,949.839.468
Matilde Quintana Pabón,904-843-984
Carles Ibarra Limón,961 309 513
Lorena Prado Porras,986.870.776
Roser Balderas Magaña,937-659-531
Andrea Vigil Arenas,993-426-064
Anni Rivas Calvillo,995.682.819
Anni Tello Velasco,919460735
Maica Briones Fernández,988.941.348
Sra. Laura Casanova Lebrón,986.547.363
Rubén Robles Rolón,909 949 875
Manuel Rosales Quezada,942 729 397
Daniel Estrada Gaytán,925-989-493
Andrea Miramontes Altamirano,958080095
Pedro Berríos Alvarado,988 611 655
Anni Alcántar Domínguez,980-560-963
Carles Navarro Amaya,905-922-257
Jordi Arenas Galarza,925.022.674
Ricardo Robles Nazario,914-555-949
Marta Sánchez Chavarría,982 214 914
Roser Gaytán Escalante,920 963 329
Jorge Blanco Nava,969.007.768
Ángel Concepción Rincón,980979957
María de los Ángeles Alba Vergara,924-676-684
Marta Noriega Miramontes,986-972-290
Jennifer Gracia Quintanilla,953465049
Sta. Matilde Ramírez Figueroa,957 610 113
Marta Briseño Ramos,942.424.979
Maica Caldera Muro,931990604
Pedro Ferrer Araña,939 656 285
Miguel Aranda Carrera,979.148.203
Daniel Rodarte Osorio,909-386-737
Pío Colón Jurado,914434207
Carles Saiz Mondragón,946 261 330
Sra. Roser Rubio Flores,945.157.825
Jorge Arevalo Baca,950 531 275
Matilde Hinojosa Arredondo,986-115-188
Sergi Farías Roldán,999246957
Manuel Santiago Zayas,976-806-841
Manuel Villaseñor Vargas,956 263 726
María de los Ángeles Aponte Aponte,918-499-856
Jennifer Urbina Munguía,964068460
Sta. Lorena Mercado Vázquez,912914752
Maica Abeyta Rivas,975.822.849
Matilde Valle Medrano,980.700.097
Maica Montañez Jaime,940626446
Pío Cruz Carmona,901832854
Lorena Negrón Carreón,934 728 330
Rubén Orta Luna,909-911-081
Pío Fernández Pantoja,954 675 044
Salvador Muñoz Barajas,929 833 613
Carles Mesa Cepeda,972-909-517
Pedro Orellana Banda,941-418-811
Sr. Rubén Yáñez Fuentes,906135368
María de los Ángeles de Jesús Cervántez,947 402 517
Laura Segura Morales,928 642 450
Salvador León Montañez,920 641 924
Pío Delacrúz Guardado,932 424 194
Roser Aponte Valenzuela,934306600
Ana Ojeda Delacrúz,945.273.181
Pío Alcántar Camarillo,901.392.901
Ángel Guerrero Morales,970 647 403
Carles Medina Soria,941-484-497
Andrea Corona Barela,992-739-123
Marta Loera Urbina,906605904
Anni Flores Rosales,968 962 077
Ana Ramos Perales,922 309 053
Jordi Cervantes Sepúlveda,991.219.988
Pedro Feliciano Burgos,936 751 483
Pablo Arenas Almonte,902500193
Salvador Bustos Escalante,987.479.545
Matilde Luevano Rubio,948562350
Jorge Dávila Melgar,910180600
Marta García Maestas,942 103 403
Sra. Andrea Saavedra Carrillo,905 586 498
Marta Núñez Reynoso,941 186 424
Sta. Roser Maldonado Salgado,951918264
Sta. Maica Montaño Flores,932624117
Pablo Montaño Collazo,982-815-023
Matilde Montero Melgar,960-272-719
Anni Sevilla Quesada,916 182 321
Laura Sotelo Correa,963-019-704
Pedro Santiago Frías,953011857
Josep Méndez Tamez,975038303
Jordi Quintero Alanis,938.581.723
Sr. Ángel Vargas Villarreal,923099169
Maica Godoy Valles,932.144.373
Ricardo Meraz Tejada,934 575 478
Laura Cisneros Olivera,909.383.889
Andrea Hernández Velásquez,918-257-257
María de los Ángeles Barragán Orozco,977651257
Manuel Cepeda Salinas,951-738-336
Manuel Rael Guzmán,978445463
Ángel Esquibel Quintana,965.241.428
Marta Rendón Carrera,996941590
Maica Cano Osorio,925924096
Josep Salcido Anguiano,991 046 185
Josep Prado Vanegas,946.754.820
Salvador Acevedo Villalobos,996821642
Josep Cotto Velásquez,985.104.852
Sta. Ana Barela Valladares,933-956-492
Jennifer Barela Cortéz,985729978
Anni Girón Tamayo,981-913-065
Sta. Matilde Sierra Zayas,946.296.335
Sr. Rubén Echevarría Tafoya,989.239.512
Pablo Olvera Cano,907.105.053
Laura Tello Solorio,904.987.139
Lorena Gálvez Ozuna,956-491-680
Sr. Josep Samaniego Galarza,941584321
Ricardo Salinas Aguayo,999.420.548
Matilde Arellano Torres,997.597.722
Laura Tafoya Apodaca,960-753-102
Anni Fernández Moya,904-600-775
Ángel Tijerina Lira,939.641.912
Ricardo Borrego Rosales,968-644-682
Josep Mares Gurule,953.884.027
Lorena Jaramillo Sierra,921 279 174
Miguel Tovar Ordóñez,927-088-071
Hermenegildo Benavídez Delacrúz,965.496.022
María de los Ángeles Bernal Preciado,915 908 300
Maica Vela Pineda,956.027.339
Sra. Andrea Gurule Vera,957912087
Maica Tirado Narváez,957940530
Maica Guerrero Rivera,963 752 809
Andrea Melgar Lara,904.659.946
Laura Montañez Rivera,936-270-208
Rubén Soto Esparza,927-792-797
Anni Polanco Laboy,914-026-133
Salvador Regalado Cintrón,978.746.386
Rubén Estrada Corral,903-170-414
Daniel Saavedra Cadena,941-440-569
Andrea Sáenz Santillán,917474367
Ana Soliz Alcántar,938.984.204
Lorena Rojas Leal,926.866.577
Pedro Lerma Elizondo,928-415-877
Jennifer Munguía Jiménez,964.898.581
Laura Castro Zaragoza,986-540-499
Matilde Hernández Henríquez,973165828
María de los Ángeles Bueno Rodarte,991-689-688
Josep Pedroza Villaseñor,914.129.498
Jordi Magaña Duarte,942-692-373
Roser Mercado Carvajal,911 382 085
Marta Regalado Vera,930 634 136
Laura Valverde Hernández,988.149.402
Iván Mora Oquendo,961.830.511
Anni Carrasquillo Corona,936 147 583
Maica Santillán Esquibel,998676201
Jennifer Espinosa de los Monteros Miramontes,973.154.652
Sta. Anni Sauceda Montes,965 250 268
Matilde Alvarado Carrero,962.416.341
Pablo Santana Mora,921 451 552
Sta. Roser Miranda Mondragón,911 443 841
Pío Almanza Ruelas,951.704.062
Marta Chávez Pagan,962-265-067
Pablo Alicea Quiróz,971 438 838
Iván Almonte Palomo,998.159.991
Lorena Carmona Esquibel,952.402.396
Ana Gallegos Cuellar,911.997.084
Ana Holguín Peña,927304605
Pedro Lugo Montoya,993 215 868
Salvador Ceja Casas,915.424.594
Andrea Quezada Melgar,999 211 439
Manuel Girón Adorno,987310482
Carles Quiróz Cervantes,942 258 845
Sra. Roser Adame Vigil,912.680.007
Pío Nieto Rodríguez,983782571
María de los Ángeles Rojas Alarcón,932633815
Sr. Ricardo Arellano Zayas,961265133
Rubén Pedraza Sedillo,995926550
Manuel Casares Piña,929590195
Anni Rangel González,963.756.239
Jordi Durán Tapia,946047397
Jennifer Romo Zapata,987-752-942
Juan Ramón Batista Delagarza,957-295-713
Miguel Abeyta Valdés,969.162.692
Sr. Daniel Quintana Alfaro,965076148
Maica Jaimes Madrid,937 904 869
Marta Delrío Rojas,947.948.075
Maica Delgadillo Tijerina,948.228.042
Marta Collazo Crespo,915-492-211
Roser Garrido Ybarra,966552602
Sta. Jennifer Alemán Villarreal,945 074 454
Maica Solorio Agosto,975-012-854
Jennifer Marrero Vega,937-367-655
Matilde Corona Corona,920-727-130
Laura Medina Meza,922530600
Manuel Miramontes Santillán,973912054
Andrea Granado Gámez,997961395
Jordi Alba Melgar,927-208-658
Iván Arenas Moya,978077543
Maica Carrera Ortiz,905 821 470
Anni Guardado Arellano,907 789 182
Maica Rentería Gastélum,936 728 442
Laura Godínez Narváez,910.263.896
Marta Montalvo Otero,934 995 353
Anni Rocha Raya,967390849
Maica Garica Villarreal,986020730
Hermenegildo Villa Gracia,957 942 701
Juan Ramón Valdés Delrío,923 214 447
Sr. Pedro Bahena Ojeda,970 653 322
María de los Ángeles Flores Delgadillo,984 885 908
Pedro Iglesias Bustamante,947885173
Pablo Juárez Altamirano,911-007-038
Maica Ochoa Segura,923003227
Andrea Rosales Piña,981.020.365
Sr. Jorge Hinojosa Linares,948.079.603
Ángel Aranda Berríos,973547231
Pío Ruelas Carrasquillo,991440436
Daniel Beltrán Dueñas,926.421.756
María de los Ángeles Bravo Mesa,953564637
María de los Ángeles Regalado de Jesús,956587789
Hermenegildo Tejeda Osorio,940-175-203
Sta. Anni Gallardo Rodríguez,947.583.900
Pío Perales García,923.300.650
Jennifer Echevarría Barajas,924740673
Roser Crespo Ramos,992 352 763
Jordi Galarza Polanco,958538536
Anni Sotelo Barragán,918.612.114
Laura Arreola Gaitán,997.446.745
Roser Blanco Romero,948-013-485
Laura Balderas Sandoval,926.705.767
Andrea Delacrúz Delafuente,933475734
Jordi Enríquez Serna,997 399 306
María de los Ángeles Espinosa de los Monteros Sarabia,944-824-301
Hermenegildo Zamora Anaya,990 430 677
Hermenegildo Yáñez Aranda,951-922-018
Manuel Jaime Serna,903-572-690
Daniel Altamirano Velasco,937 120 844
Jorge Contreras Ulibarri,950-231-013
Jennifer Peña Cantú,961.298.283
Josep Vera Delgado,917 756 981
Anni Otero Alva,974 552 788
Manuel Nevárez Cortés,907848722
Sra. Laura Macías Cano,960-960-204
Sr. Salvador Preciado Saucedo,983.533.955
Anni Oquendo Mares,989617676
Hermenegildo Esquibel Lovato,910.191.970
Roser Ballesteros Hurtado,962.390.017
Iván Rocha Arias,906285932
Ana Ballesteros Lemus,931.925.292
Ángel Delagarza Cepeda,926.025.403
Laura Gurule Delgado,987.912.387
Pío Quintero Cardona,910 269 853
Sr. Pablo Delatorre Muñiz,914-705-847
Sta. Laura Camacho Betancourt,917 005 801
Roser Yáñez Gámez,952863531
Hermenegildo Carrión Herrera,979-508-341
Matilde Ponce Porras,954 671 076
Salvador Cedillo Matos,938951291
Sr. Ángel Ortiz Ozuna,989127143
Hermenegildo Lucio Corral,944-794-515
Pedro Navarrete Luna,925 837 058
Anni Pagan Medina,930.894.978
Sta. Andrea Magaña Mojica,990-525-457
Iván Aragón Chapa,927629639
Jordi Lemus Zavala,920-601-040
Matilde Sepúlveda Fernández,923.654.621
Pedro Meza Hernández,915 380 210
Andrea Meléndez Navarro,998-693-684
Salvador Adame Montero,978.917.434
Lorena Menchaca Amaya,997953206
Pablo Curiel Munguía,968 975 052
María de los Ángeles Parra Limón,908 797 632
Jordi Correa Salgado,921-337-112
Pablo Roque Beltrán,915.891.407
Josep Acosta Osorio,977 435 158
Andrea Quesada Mora,948348595
Andrea Abreu Urrutia,959849833
Roser Vergara Luna,992 086 521
Daniel Benítez Menchaca,930.012.759
Jorge Corrales Limón,920.956.400
Salvador Páez Ávila,949898744
Ricardo Zepeda Hidalgo,993.239.303
Ricardo Chapa Olivas,900 591 641
Jennifer Samaniego Samaniego,959 973 117
Manuel Cedillo Lomeli,958.224.484
Roser Murillo Carreón,962.662.111
Miguel Rojo Carrasquillo,900-176-628
Marta Tijerina Puente,926 143 227
Roser Robledo Velázquez,954-398-575
Matilde Luevano Rico,933984673
Daniel Laureano Galarza,965 053 748
Sr. Rubén Vela Tejada,983-172-626
Jorge Gaona Valdivia,906 721 232
Daniel Ojeda Alemán,944310629
Rubén Rincón Sepúlveda,971-613-327
Sr. Daniel Sánchez Téllez,920719154
Salvador Morales Barragán,921 413 507
Carles Carrera Mojica,927.929.702
Maica Feliciano Serrano,960.010.894
Marta Salgado Benavídez,987-721-255
Jordi Ornelas Soliz,956-094-290
Miguel Montañez Reyes,911711491
Marta Benavides Montoya,966878545
Sr. Juan Ramón Rivero Arteaga,951.437.063
Manuel Longoria Alicea,938.961.513
Sergi Solorzano Rosales,934596904
Carles Cepeda Vanegas,911-946-099
Josep Valverde Armenta,985647188
Salvador Fernández Rubio,913.481.687
Ana Huerta Garza,969.350.801
Miguel García Roque,963-018-832
Carles Borrego Rolón,975046602
Pedro Mireles Marrero,933085373
Carles Benavídez Acosta,969032118
Juan Ramón Quintero Caraballo,935.974.882
Juan Ramón Cantú Briones,967.426.977
Hermenegildo Soto Urbina,910-277-186
Salvador Zarate Preciado,942.336.077
Juan Ramón Olvera Alba,930 776 063
Sr. Miguel Casares Macías,944.648.614
Salvador Niño Ponce,949569142
Sra. Maica Colón Partida,979-988-590
Sta. Andrea Arredondo Báez,936.793.564
Pablo Ornelas Laboy,973.382.570
Roser Alfaro Arce,986.427.546
Andrea Armendáriz Orellana,928009511
Iván Ozuna Lozano,982-608-164
Juan Ramón Escalante Moreno,993-977-845
Ricardo Aguirre Ochoa,909-619-834
Maica Soliz Delrío,963.338.999
Pedro Esquibel Alaníz,910759821
Andrea Salcido Montaño,923-562-550
Anni Baca Crespo,986-562-616
Ana Armijo Rosales,981206067
Andrea Álvarez Sáenz,949.028.304
Miguel Anaya Cruz,983083145
Pedro Salazar Zambrano,900-544-850
Sergi Nájera Menchaca,957-295-937
Sergi Magaña Estévez,975-513-010
Pablo Soto Montero,912.750.842
Pedro Rendón Estévez,969-428-459
Pedro Uribe Ceja,989-332-857
Maica Cárdenas Irizarry,917.517.824
Marta Ferrer Frías,999 446 084
Jorge Fernández Roque,962-335-072
Salvador Banda Carrero,981 815 637
Marta Briones Zepeda,943 633 266
Manuel Sevilla Zelaya,930873425
Juan Ramón Gallegos Arredondo,927625093
Salvador Rincón Cortés,944.867.177
Salvador Marroquín Véliz,901298379
Jordi Cuellar Rentería,914.691.961
Anni Blanco Marroquín,934.503.967
Pablo Bahena Córdova,905.542.203
Juan Ramón Vergara Aparicio,960-823-382
Sta. Marta Jaramillo Abeyta,943 298 970
Ángel Guillén Cortés,918-706-830
Sr. Hermenegildo Loya Borrego,939.783.793
Sta. María de los Ángeles Ledesma Mireles,980-750-032
Roser Feliciano Lira,982-678-495
Daniel Loya Méndez,939-187-896
Roser Rosas Linares,901-998-366
Hermenegildo Bravo Ayala,984-608-690
Jordi Viera Meléndez,970 601 366
Carles Trejo Valles,937-571-005
Carles Valenzuela Soto,902.606.798
Juan Ramón Olivárez Ochoa,977393269
Andrea Santana Haro,938235135
Ana Serrano Leyva,952.243.307
Ángel Villagómez Esquibel,967-682-745
Sr. Jorge Mondragón Aparicio,907341426
Jorge Carreón Marrero,965122035
Sta. Roser Coronado Nevárez,997298016
Roser Luna Godoy,972-673-930
Salvador Piña Calderón,909-508-503
Pío Alcalá Apodaca,991 264 839
Ricardo Alva Cervántez,995503318
Ana Elizondo Alva,966-463-732
Sr. Daniel Serna Villegas,958168749
Jorge Sarabia Briones,918 765 805
Maica Arreola Arriaga,979-901-418
Maica Rangel Orozco,981701644
Sta. Lorena Casares Álvarez,920 919 048
Ricardo Delrío Ulloa,912-895-593
María de los Ángeles Gamboa Razo,971 611 024
Iván Corral Quintanilla,967 891 879
Jordi Santacruz Acuña,943 608 860
Jordi Vela Montaño,946.604.274
Ángel Bueno Castellanos,915-549-335
Rubén Soria Botello,974.705.870
Anni Rodríguez Briseño,970.262.643
Jordi Salazar Menchaca,986-720-018
Juan Ramón Miranda Cabán,906562445
Pío Carrión Caballero,996037472
Matilde Villalpando Velázquez,983131635
Maica Santiago Meraz,903660945
Miguel Carrillo Heredia,934 324 111
Jennifer Tamayo Cazares,930.067.096
Matilde Lerma Argüello,901 013 029
María de los Ángeles Lebrón Berríos,927-889-749
Maica Pantoja Brito,913.009.982
Iván Ortega Tejeda,956-467-763
Miguel Puga Loera,962.698.557
Josep Angulo Alanis,960.554.711
Ángel Carrión Nazario,959-134-720
María de los Ángeles Jaimes Tello,994-202-933
Salvador Espinoza Muñiz,952.955.184
Jordi Gil Tamayo,946589897
Pablo Mesa Tafoya,961418081
Pedro Guardado Carvajal,957729871
Ángel Tirado Saavedra,912-582-649
Lorena Rodríguez Zaragoza,971-235-745
Matilde Álvarez Soto,987-032-052
Pío Soliz Marín,976-420-640
Maica Sánchez Covarrubias,925.483.795
Andrea Vanegas Vaca,983068546
Salvador Palomo Bañuelos,997 973 592
Josep Lebrón Lebrón,968093813
Sr. Iván Santillán Álvarez,926 335 927
Anni Tapia de Jesús,929 629 277
Ana Álvarez Agosto,931.894.935
Daniel Rodríguez Mayorga,925-001-904
Pedro Medrano Terrazas,909 245 790
Matilde Mireles Villarreal,996155429
Matilde Canales Olmos,944-085-203
Sr. Jordi Corona Sisneros,937-191-937
Anni Gastélum Montero,912 054 234
Pío Alba Pedraza,981 612 193
Sta. Laura Armas Gaytán,939 102 112
Juan Ramón Molina Nieto,970 162 432
Sta. María de los Ángeles Magaña Arce,915 866 371
Pío Toro Delacrúz,911820267
Maica Argüello Fajardo,970625446
Pedro Molina Canales,905.211.014
Pedro Pedraza Nieves,947-896-331
Salvador Hinojosa Arreola,958-439-319
Carles Zamudio Camacho,913 895 338
María de los Ángeles Montemayor Salazar,969 495 903
Iván Almaráz Salcedo,978.829.769
Iván Parra Lucero,931-636-128
María de los Ángeles Valenzuela Mascareñas,913450041
Maica Lugo Contreras,912 647 270
Marta Longoria Colón,983985607
Anni Brito Tórrez,918-048-271
Hermenegildo Núñez Perales,912365836
Pedro Valles Arreola,911696157
Sr. Juan Ramón Sandoval Aguilar,981-003-922
Matilde Ojeda Solorio,935-842-718
Maica Quesada Pedraza,900-753-658
Ángel Menchaca Crespo,962910404
Iván Romero Godínez,906325130
Laura Negrón Aguirre,935-681-486
Maica Guillén Cadena,975.420.956
Lorena Carrera Villa,974 202 831
Daniel Archuleta Linares,906-685-169
Ángel Aguayo Arroyo,955.485.388
Roser Vaca Godoy,902365256
Iván Castro Guardado,924.193.097
Marta Carrasquillo Rael,934 862 923
Ángel Carrillo Henríquez,948.957.497
Andrea Lovato Treviño,918-036-284
Roser Ponce Tejada,960.900.327
Sra. Roser Villaseñor Garay,981.159.500
Rubén Fonseca Paz,945.786.931
Ana Mayorga Puente,925806821
Pío Canales Guajardo,946-071-211
Juan Ramón Carrero Pantoja,980.370.137
Jordi Delatorre Rivero,976.775.980
Pablo Blanco Fonseca,987-071-831
Carles Gutiérrez Alicea,902 280 995
Sr. Pedro Coronado Abrego,900619050
Ricardo Rentería Camarillo,950-295-601
Carles Gaona Calderón,951228689
Manuel Chávez Trujillo,951906290
Pío Holguín Arias,980.802.920
María de los Ángeles Prado Montalvo,954-264-476
Sr. Hermenegildo Zambrano Portillo,920570123
Sra. Jennifer León Esparza,974.684.478
Anni Valladares Pizarro,957 520 776
Anni Vela Acuña,985 856 239
Ángel Borrego Villa,983.460.034
Sr. Carles Robles Casares,951 487 668
Laura Ayala Valadez,995.389.118
Ricardo Miranda Delgadillo,993 099 635
Miguel Godínez Sanabria,904-902-658
Andrea Sierra Pérez,988-656-594
Miguel Menchaca Rascón,976.217.748
Matilde Zavala Barragán,950.064.954
Lorena Mejía Banda,940392551
Laura Negrete Carranza,957857528
Hermenegildo Segura Echevarría,933.012.871
Matilde Solís Camarillo,919.115.002
Ángel Villaseñor Lozada,946 594 840
Andrea Rendón Feliciano,955593372
Anni Altamirano Rentería,935.723.912
Roser Castro Benavídez,929770980
Sra. Marta León Montemayor,962-133-099
Maica Naranjo Ornelas,920980323
Anni Burgos Loera,901243915
Miguel Padrón Suárez,923.701.390
Andrea Altamirano Canales,944 454 420
Juan Ramón Feliciano Montaño,981 027 172
María de los Ángeles Bañuelos Casares,961-633-748
Sr. Daniel Balderas Toledo,957-049-919
Jorge Aguayo Puente,947-198-010
Sr. Sergi Romero Alcántar,976-954-951
Pedro Fernández Olivo,987-593-007
Pedro Solorio Atencio,972 303 979
Iván Colunga Lozano,938 508 691
Ricardo Cintrón Sepúlveda,946-769-898
Pedro Abreu Arevalo,986 590 156
Ana Espinosa Olivas,903509552
Josep Vargas Ornelas,923.882.720
Hermenegildo Aguayo Cavazos,959.240.985
Sra. Andrea Varela Montaño,947 253 253
Carles Agosto Collado,935 069 923
María de los Ángeles Morales Tijerina,904.905.693
Jennifer Espinosa Nieves,947003174
Lorena Rodríguez Alcalá,996 980 624
Carles Concepción Caraballo,965375008
Hermenegildo Salas Gómez,928 886 023
Marta Espinal Arenas,987418373
Pablo Delao Gil,939.585.430
Juan Ramón Montoya Lara,970722303
Carles Montoya Mesa,988638428
Jordi Aguayo Carrión,936.008.883
Sr. Jordi Morales Preciado,955 040 265
María de los Ángeles Lira Ruelas,903 782 015
Sra. Ana Nieves Moya,950 823 483
Miguel Deleón Morales,923733118
Jordi Fernández Menéndez,912.600.616
Lorena Ibarra Ocasio,949-779-638
Jorge Robledo Sierra,975-721-831
Jennifer Mascareñas Granado,905 101 508
María de los Ángeles Esquibel Vigil,947.203.852
María de los Ángeles Riojas Rico,943-753-022
Marta Domínguez Osorio,968729344
Sra. María de los Ángeles Feliciano Laboy,902 753 512
Sr. Daniel Quiñones Crespo,905 312 491
Maica Granado Betancourt,959 304 336
Roser Ocasio Valencia,946287790
Pedro Guardado Quintanilla,900181837
Maica Alcántar Cadena,986 945 224
María de los Ángeles Bañuelos Lara,915.603.070
Manuel Salinas Holguín,954 787 441
Hermenegildo Delvalle Tovar,919.017.981
